Happiness Rank,Country,Happiness Score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Region
82,Greece,5287,1.181,1.156,0.999,0.067,0.0,0.034,1.85,2019.0,Western Europe
83,Mongolia,5285,0.948,1.531,0.667,0.317,0.235,0.038,1.549,2019.0,East Asia
84,North Macedonia,5274,0.983,1.294,0.838,0.345,0.185,0.034,1.595,2019.0,Central and Eastern Europe
85,Nigeria,5265,0.696,1.111,0.245,0.426,0.215,0.041,2.531,2019.0,Sub-Saharan Africa
86,Kyrgyzstan,5261,0.551,1.438,0.723,0.508,0.3,0.023,1.718,2019.0,Commonwealth of Independent States
87,Turkmenistan,5247,1.052,1.538,0.657,0.394,0.244,0.028,1.334,2019.0,Commonwealth of Independent States
88,Algeria,5211,1.002,1.16,0.785,0.086,0.073,0.114,1.991,2019.0,Middle East and North Africa
89,Morocco,5208,0.801,0.782,0.782,0.418,0.036,0.076,2.313,2019.0,Middle East and North Africa
90,Azerbaijan,5208,1.043,1.147,0.769,0.351,0.035,0.182,1.681,2019.0,Commonwealth of Independent States
91,Lebanon,5197,0.987,1.224,0.815,0.216,0.166,0.027,1.762,2019.0,Middle East and North Africa
