Country,Region,Happiness Score,Standard Error,Whisker-high,Whisker-low,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Year,Happiness Rank
Chad,Sub-Saharan Africa,4423,0.075231321,4.570153236,4.27524662,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,2020,127
Tunisia,Middle East and North Africa,4392,0.049670532,4.489554405,4.294845581,0.874742687,0.872167706,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,2020,128
Mauritania,Sub-Saharan Africa,4375,0.055093341,4.482583046,4.266616821,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,2020,129
Sri Lanka,South Asia,4327,0.053085525,4.431047916,4.222952366,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,2020,130
Congo (Kinshasa),Sub-Saharan Africa,4311,0.108998232,4.524636269,4.097363472,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,0.081466645,2.437864304,2020,131
Swaziland,Sub-Saharan Africa,4308,0.07145194,4.448145866,4.168054581,0.827539742,1.064835191,0.215585828,0.299935788,0.067264833,0.146765873,1.686207294,2020,132
Myanmar,Southeast Asia,4308,0.042949215,4.392180443,4.223819733,0.67809093,1.098178267,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,2020,133
Comoros,Sub-Saharan Africa,4289,0.084340192,4.453906536,4.1232934,0.415620774,0.723232806,0.437383324,0.181028232,0.258538276,0.100048535,2.17276907,2020,134
Togo,Sub-Saharan Africa,4187,0.062506773,4.309713364,4.064686775,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,2020,135
Ethiopia,Sub-Saharan Africa,4186,0.038915094,4.262473583,4.109926701,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,2020,136
Madagascar,Sub-Saharan Africa,4166,0.057542104,4.278382301,4.052817345,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,2020,137
Egypt,Middle East and North Africa,4151,0.035979424,4.221919537,4.080880642,0.875228941,0.982539535,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245,2020,138
Sierra Leone,Sub-Saharan Africa,3926,0.061150789,4.046255589,3.806544304,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,2020,139
Burundi,Sub-Saharan Africa,3775,0.107122384,3.98526001,3.565340042,0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,2020,140
Zambia,Sub-Saharan Africa,3759,0.06067669,3.878326178,3.640473604,0.536833763,0.896037281,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,2020,141
Haiti,Latin America and Caribbean,3721,0.101463005,3.919667482,3.521932364,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,2020,142
Lesotho,Sub-Saharan Africa,3653,0.082120985,3.813757181,3.491842985,0.45493874,1.088940024,0.100934811,0.409367532,0.102627642,0.050483823,1.445513964,2020,143
India,South Asia,3573,0.027702235,3.627596378,3.519003391,0.730576158,0.644198656,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,2020,144
Malawi,Sub-Saharan Africa,3538,0.070260517,3.675710678,3.400289536,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,2020,145
Yemen,Middle East and North Africa,3527,0.054158084,3.633549929,3.421250105,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,2020,146
Botswana,Sub-Saharan Africa,3479,0.060542691,3.597563744,3.360236168,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,2020,147
Tanzania,Sub-Saharan Africa,3476,0.06320975,3.600091219,3.352308989,0.457163125,0.872674644,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,2020,148
Central African Republic,Sub-Saharan Africa,3476,0.115182951,3.701658487,3.250141382,0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544,2020,149
Rwanda,Sub-Saharan Africa,3312,0.052425209,3.415053368,3.209546566,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,2020,150
Zimbabwe,Sub-Saharan Africa,3299,0.058674462,3.414201975,3.184198141,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,2020,151
South Sudan,Sub-Saharan Africa,2817,0.107610404,3.027516365,2.605683804,0.289082974,0.553278506,0.208809033,0.065609254,0.209934607,0.111156799,1.378751278,2020,152
Afghanistan,South Asia,2567,0.031311426,2.628270388,2.505529642,0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646,2020,153
